 file_A onset_A offset_A file_B onset_B offset_B "d(A, B)"
20 geo020s09a0126v02 1.105634 1.188014 geo020s09a0239v02 0.842729 0.919136 0.120472035473
21 geo020s09a0240v02 0.713095 0.765288 geo020s09a0239v02 0.842729 0.919136 0.0637729609985
22 geo020s09a0241v02 0.968871 1.055413 geo020s09a0239v02 0.842729 0.919136 0.0851295651103
23 geo020s09a0242v02 0.718548 0.80748 geo020s09a0239v02 0.842729 0.919136 0.0550716088749
24 geo020s09a0083v02 0.928808 1.007662 geo020s09a0240v02 0.713095 0.765288 0.0749643218239
25 geo020s09a0085v02 1.019652 1.094645 geo020s09a0240v02 0.713095 0.765288 0.0621533627882
26 geo020s09a0126v02 1.105634 1.188014 geo020s09a0240v02 0.713095 0.765288 0.103303047172
27 geo020s09a0239v02 0.842729 0.919136 geo020s09a0240v02 0.713095 0.765288 0.0637729609985
28 geo020s09a0241v02 0.968871 1.055413 geo020s09a0240v02 0.713095 0.765288 0.0886390473317
29 geo020s09a0242v02 0.718548 0.80748 geo020s09a0240v02 0.713095 0.765288 0.0799251406855
30 geo020s09a0083v02 0.928808 1.007662 geo020s09a0241v02 0.968871 1.055413 0.0643488563518
31 geo020s09a0085v02 1.019652 1.094645 geo020s09a0241v02 0.968871 1.055413 0.0667766352137
32 geo020s09a0126v02 1.105634 1.188014 geo020s09a0241v02 0.968871 1.055413 0.111054769492
33 geo020s09a0239v02 0.842729 0.919136 geo020s09a0241v02 0.968871 1.055413 0.0851295651103
34 geo020s09a0240v02 0.713095 0.765288 geo020s09a0241v02 0.968871 1.055413 0.0886390473317
35 geo020s09a0242v02 0.718548 0.80748 geo020s09a0241v02 0.968871 1.055413 0.0713806081177
36 geo020s09a0083v02 0.928808 1.007662 geo020s09a0242v02 0.718548 0.80748 0.0618198708519
37 geo020s09a0085v02 1.019652 1.094645 geo020s09a0242v02 0.718548 0.80748 0.0627319316618
38 geo020s09a0126v02 1.105634 1.188014 geo020s09a0242v02 0.718548 0.80748 0.117348752395
39 geo020s09a0239v02 0.842729 0.919136 geo020s09a0242v02 0.718548 0.80748 0.0550716088749
40 geo020s09a0240v02 0.713095 0.765288 geo020s09a0242v02 0.718548 0.80748 0.0799251406855
41 geo020s09a0241v02 0.968871 1.055413 geo020s09a0242v02 0.718548 0.80748 0.0713806081177
0 geo020s08a0057v01 0.979869 1.085871 geo020s08a0045v01 0.990282 1.071573 0.0736369633018
1 geo020s08a0080v01 0.868777 0.961853 geo020s08a0045v01 0.990282 1.071573 0.0906631962723
